IATA Code,Airport Name
LHR,London Heathrow Airport
IST,Istanbul Airport
CDG,Paris Charles de Gaulle Airport
AMS,Amsterdam Airport Schiphol
MAD,Madrid Barajas Airport
FRA,Frankfurt Airport
BCN,Barcelona Airport
LGW,London Gatwick Airport
FCO,Rome Fiumicino Airport
MUC,Munich Airport
SAW,Istanbul Sabiha Gökçen Airport
SVO,Moscow Sheremetyevo Airport
AYT,Antalya Airport
LIS,Lisbon Airport
DUB,Dublin Airport
ORY,Paris Orly Airport
PMI,Palma de Mallorca Airport
VIE,Vienna Airport
ZRH,Zurich Airport
ATH,Athens Airport
MAN,Manchester Airport
STN,London Stansted Airport
CPH,Copenhagen Airport
MXP,Milan Malpensa Airport
OSL,Oslo Airport
BER,Berlin Brandenburg Airport
AGP,Malaga Airport
BRU,Brussels Airport
ARN,Stockholm Arlanda Airport
LED,Saint Petersburg Pulkovo Airport
DME,Moscow Domodedovo Airport
DUS,Düsseldorf Airport
WAW,Warsaw Airport
GVA,Geneva Airport
LTN,London Luton Airport
BGY,Milan Bergamo Airport
ALC,Alicante Airport
HEL,Helsinki Airport
OPO,Porto Airport
BUD,Budapest Airport
OTP,Bucharest Henri Coanda Airport
VKO,Moscow Vnukovo Airport
EDI,Edinburgh Airport
NCE,Nice Airport
LPA,Gran Canaria Airport
PRG,Prague Airport
HAM,Hamburg Airport
NAP,Naples Airport
TFS,Tenerife South Airport
ESB,Ankara Esenboga Airport
