IATA Code,Airport Name,Latitude,Longitude
ATL,Hartsfield-Jackson Atlanta International Airport,33.6407,-84.4279
LAX,Los Angeles International Airport,33.9416,-118.4085
DFW,Dallas/Fort Worth International Airport,32.8998,-97.0403
DEN,Denver International Airport,39.8561,-104.6737
ORD,O'Hare International Airport,41.9742,-87.9073
JFK,John F. Kennedy International Airport,40.6413,-73.7781
MIA,Miami International Airport,25.7959,-80.2870
EWR,Newark Liberty International Airport,40.6895,-74.1745
SFO,San Francisco International Airport,37.7749,-122.4194
IAH,George Bush Intercontinental Airport,29.9902,-95.3368
DFW,Dallas/Fort Worth International Airport,32.8998,-97.0403
SEA,Seattle-Tacoma International Airport,47.4502,-122.3088
CLT,Charlotte Douglas International Airport,35.2140,-80.9431
PHL,Philadelphia International Airport,39.8719,-75.2411
MCO,Orlando International Airport,28.4219,-81.3081
BOS,Logan International Airport,42.3656,-71.0096
FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
PHX,Phoenix Sky Harbor International Airport,33.4342,-112.0116
DTW,Detroit Metropolitan Wayne County Airport,42.2124,-83.3534
MSP,Minneapolis-Saint Paul International Airport,44.8849,-93.2223
YYZ,Toronto Pearson International Airport,43.6777,-79.6248
YVR,Vancouver International Airport,49.1947,-123.1837
YUL,Montréal–Trudeau International Airport,45.4706,-73.7407
YYC,Calgary International Airport,51.1300,-114.0111
YEG,Edmonton International Airport,53.3097,-113.5806
